Hospital Name,Hospital Type,Hospital Ownership,Emergency Services
G. V. (SONNY) MONTGOMERY VA MEDICAL CENTER (JACKSON),ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
LACKEY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
PIONEER COMMUNITY HOSPITAL OF ABERDEEN,Critical Access Hospitals,Voluntary non-profit - Private,Yes
STONE COUNTY HOSPITAL,Critical Access Hospitals,Proprietary,Yes
TALLAHATCHIE CRITICAL ACCESS HOSPITAL,Critical Access Hospitals,Government - Local,No
LAWRENCE COUNTY HOSPITAL CAH,Critical Access Hospitals,Government - Local,Yes
PERRY COUNTY GENERAL HOSP,Critical Access Hospitals,Proprietary,Yes
PONTOTOC HEALTH SERVICE CAH,Critical Access Hospitals,Voluntary non-profit - Private,Yes
FIELD MEMORIAL COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
PATIENT'S CHOICE MEDICAL CENTER OF HUMPHREYS,Critical Access Hospitals,Voluntary non-profit - Other,Yes
TYLER HOLMES MEMORIAL HOSPITAL CAH,Critical Access Hospitals,Government - Local,Yes
KINGS DAUGHTERS HOSPITAL CAH,Critical Access Hospitals,Voluntary non-profit - Private,Yes
QUITMAN COUNTY HOSPITAL CAH,Critical Access Hospitals,Proprietary,Yes
BAPTIST MEDICAL CENTER-LEAKE,Critical Access Hospitals,Government - Local,Yes
H C WATKINS MEMORIAL HOSPITAL INC,Critical Access Hospitals,Voluntary non-profit - Private,Yes
SIMPSON GENERAL HOSPITAL CAH,Critical Access Hospitals,Voluntary non-profit - Private,No
NORTH SUNFLOWER MEDICAL CENTER CAH,Critical Access Hospitals,Voluntary non-profit - Other,Yes
HOLMES COUNTY HOSPITAL AND CLINICS,Critical Access Hospitals,Government - State,Yes
"PATIENTS CHOICE MEDICAL CTR OF CLAIBORNE CO, LLC",Critical Access Hospitals,Proprietary,Yes
LAIRD HOSPITAL INC,Critical Access Hospitals,Voluntary non-profit - Other,Yes
SCOTT REGIONAL HOSPITAL CAH,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WALTHALL COUNTY GENERAL HOSPITAL CAH,Critical Access Hospitals,Government - State,Yes
COVINGTON COUNTY HOSPITAL CAH,Critical Access Hospitals,Voluntary non-profit - Other,Yes
JEFFERSON DAVIS COMMUNITY HOSPITAL CAH,Critical Access Hospitals,Voluntary non-profit - Private,Yes
HARDY WILSON MEMORIAL HOSPITAL CAH,Critical Access Hospitals,Government - Local,Yes
GREENE COUNTY HOSPITAL CAH,Critical Access Hospitals,Voluntary non-profit - Other,No
FRANKLIN COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
CALHOUN HEALTH SERVICES,Critical Access Hospitals,Government - Local,Yes
PIONEER HEALTH SERVICES OF NEWTON,Critical Access Hospitals,Proprietary,Yes
PEARL RIVER COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,No
PIONEER COMMUNITY HOSPITAL OF CHOCTAW- CAH,Critical Access Hospitals,Voluntary non-profit - Other,No
JOHN C STENNIS MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MERCY HOSPITAL JOPLIN,Acute Care Hospitals,Voluntary non-profit - Church,Yes
COOPER COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
SSM ST JOSEPH HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HEARTLAND REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BOTHWELL REGIONAL HEALTH CENTER,Acute Care Hospitals,Government - Local,Yes
ST MARYS HEALTH CENTER,Acute Care Hospitals,Proprietary,Yes
TWIN RIVERS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PHELPS COUNTY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
MERCY HOSPITAL ST LOUIS,Acute Care Hospitals,Voluntary non-profit - Church,Yes
NORTHEAST REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
JEFFERSON REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
TEXAS COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
HANNIBAL REGIONAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
RESEARCH MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
BARNES JEWISH HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BATES COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
COX MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CAPITAL REGION MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
TRUMAN MEDICAL CENTER HOSPITAL HILL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
KANSAS CITY VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
ST FRANCIS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MERCY HOSPITAL WASHINGTON,Acute Care Hospitals,Voluntary non-profit - Church,Yes
CAMERON REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MERCY HOSPITAL LEBANON,Acute Care Hospitals,Voluntary non-profit - Church,Yes
NEVADA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
ST LUKES NORTHLAND HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
AUDRAIN MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MERCY HOSPITAL SPRINGFIELD,Acute Care Hospitals,Voluntary non-profit - Church,Yes
BOONE HOSPITAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
PEMISCOT MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
MOBERLY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
ST ANTHONY'S MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
OZARKS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
POPLAR BLUFF VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
RIPLEY COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
SSM ST CLARE HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ST JOSEPH MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SSM ST MARYS HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SKAGGS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"CENTERPOINT MEDICAL CENTER OF INDEPENDENCE, LLC",Acute Care Hospitals,Voluntary non-profit - Private,Yes
NORTH KANSAS CITY HOSPITAL,Acute Care Hospitals,Government - Local,Yes
WESTERN MISSOURI MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
ST LOUIS-JOHN COCHRAN VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
TRUMAN MEDICAL CENTER LAKEWOOD,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SSM DEPAUL HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST LOUIS UNIVERSITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
MISSOURI BAPTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SOUTHEAST MISSOURI HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MISSOURI DELTA MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MISSOURI BAPTIST HOSPITAL SULLIVAN,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MINERAL AREA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
POPLAR BLUFF REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
FREEMAN HEALTH SYSTEM - FREEMAN WEST,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ST LUKES HOSPITAL OF KANSAS CITY,Acute Care Hospitals,Government - Hospital District or Authority,Yes
UNIVERSITY OF MISSOURI HEALTH CARE,Acute Care Hospitals,Government - State,Yes
FITZGIBBON MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAC-OSAGE HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,No
MISSOURI SOUTHERN HEALTHCARE,Acute Care Hospitals,Proprietary,Yes
BARNES-JEWISH WEST COUNTY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PARKLAND HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
GOLDEN VALLEY MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
DES PERES HOSPITAL,Acute Care Hospitals,Proprietary,Yes
LIBERTY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
ST LUKES HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CHRISTIAN HOSPITAL NORTHEAST,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST FRANCIS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
LAKE REGIONAL HEALTH SYSTEM,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LEE'S SUMMIT MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
BARNES-JEWISH ST PETERS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ST MARY'S MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
CITIZENS MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SSM ST JOSEPH HOSPITAL WEST,Acute Care Hospitals,Voluntary non-profit - Church,Yes
OZARKS COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CALLAWAY COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ST ALEXIUS HOSPITAL,Acute Care Hospitals,Proprietary,Yes
SAINT LUKES CANCER INSTITUTE,Acute Care Hospitals,Voluntary non-profit - Private,No
RESEARCH BELTON HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PROGRESS WEST HEALTHCARE CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COLUMBIA MO VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
COMMUNITY HOSPITAL ASSOCIATION,Critical Access Hospitals,Voluntary non-profit - Private,No
ADVANCED HEALTHCARE MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
PUTNAM COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
SULLIVAN COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
PERSHING MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WASHINGTON COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
WRIGHT MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
SCOTLAND COUNTY  HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
PERRY COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
HARRISON COUNTY COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
HERMANN AREA DISTRICT HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
MERCY HOSPITAL AURORA,Critical Access Hospitals,Voluntary non-profit - Church,Yes
MERCY HOSPITAL CASSVILLE,Critical Access Hospitals,Voluntary non-profit - Church,Yes
SALEM MEMORIAL DISTRICT HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
LINCOLN COUNTY MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
LAFAYETTE REGIONAL HEALTH CENTER,Critical Access Hospitals,Proprietary,Yes
HEDRICK MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CASS MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
BARTON COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
MERCY MCCUNE BROOKS HOSPITAL,Critical Access Hospitals,Government - Local,Yes
RAY COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
NORTHWEST MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
COX MONETT HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
STE GENEVIEVE COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
FREEMAN NEOSHO HOSPITAL,Critical Access Hospitals,Proprietary,Yes
CARROLL COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
PIKE COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
MERCY ST FRANCIS HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,No
CHILDRENS MERCY HOSPITAL,Childrens,Voluntary non-profit - Private,Yes
ST PETER'S HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BILLINGS CLINIC HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BENEFIS HOSPITALS INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST PATRICK HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ST JAMES HEALTHCARE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
COMMUNITY MEDICAL CENTER INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NORTHERN MONTANA HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
VA MONTANA HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
ST VINCENT HEALTHCARE,Acute Care Hospitals,Voluntary non-profit - Church,Yes
KALISPELL REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BOZEMAN DEACONESS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET,Acute Care Hospitals,Government - Federal,Yes
GREAT FALLS CLINIC MEDICAL CENTER,Acute Care Hospitals,Proprietary,No
HEALTH CENTER NORTHWEST,Acute Care Hospitals,Proprietary,No
POPLAR COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
DAHL MEMORIAL HEALTHCARE ASSOC,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MISSOURI RIVER MEDICAL CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes
MCCONE COUNTY HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MOUNTAINVIEW MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
TETON MEDICAL CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes
ROOSEVELT MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
PRAIRIE COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
GARFIELD COUNTY HEALTH CENTER,Critical Access Hospitals,Government - Local,Yes
BIG SANDY MEDICAL CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes
PHILLIPS COUNTY MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
PIONEER MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
FRANCES MAHON DEACONESS HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
LIVINGSTON HEALTHCARE,Critical Access Hospitals,Voluntary non-profit - Private,Yes
BARRETT MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
RUBY VALLEY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
ST JOHN'S LUTHERAN HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WHEATLAND MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
SHERIDAN MEMORIAL HOSPTIAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
CLARK FORK VALLEY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
PONDERA MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ST LUKE COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
BEARTOOTH BILLINGS CLINIC,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ROSEBUD HEALTH CARE CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MARIAS MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
STILLWATER COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
GLENDIVE MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
LIBERTY COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
COMMUNITY HOSPITAL OF ANACONDA,Critical Access Hospitals,Voluntary non-profit - Private,Yes
NORTH VALLEY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
NORTHERN ROCKIES MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
BIG HORN CO MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE,Critical Access Hospitals,Government - Federal,Yes
MARCUS DALY MEMORIAL HOSPITAL - CAH,Critical Access Hospitals,Voluntary non-profit - Private,Yes
TRINITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
DANIELS MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
PROVIDENCE ST JOSEPH MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Church,Yes
SIDNEY HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CENTRAL MONTANA MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ROUNDUP MEMORIAL HEALTHCARE,Critical Access Hospitals,Voluntary non-profit - Other,Yes
HOLY ROSARY HEALTHCARE,Critical Access Hospitals,Voluntary non-profit - Church,Yes
BRYANLGH MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
GOOD SAMARITAN HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
THE NEBRASKA MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAINT ELIZABETH REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST FRANCIS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
CREIGHTON UNIVERSITY MEDICAL CENTER - SAINT JOSEPH,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MARY LANNING MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
THE NEBRASKA METHODIST HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
REGIONAL WEST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
GREAT PLAINS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM),ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
FREMONT AREA MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
ALEGENT HEALTH IMMANUEL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ALEGENT HEALTH MIDLANDS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
COLUMBUS COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
FAITH REGIONAL HEALTH SERVICES,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LINCOLN SURGICAL HOSPITAL,Acute Care Hospitals,Proprietary,No
NEBRASKA HEART HOSPITAL,Acute Care Hospitals,Proprietary,No
NEBRASKA ORTHOPAEDIC HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ALEGENT HEALTH LAKESIDE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MIDWEST SURGICAL HOSPITAL LLC,Acute Care Hospitals,Proprietary,No
BELLEVUE MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
"NEBRASKA SPINE HOSPITAL, LLC",Acute Care Hospitals,Proprietary,No
HARLAN COUNTY HEALTH SYSTEM,Critical Access Hospitals,Voluntary non-profit - Other,Yes
FILLMORE COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
PAWNEE COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
NIOBRARA VALLEY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
THAYER COUNTY HEALTH SERVICES,Critical Access Hospitals,Government - Local,Yes
KIMBALL HEALTH SERVICES,Critical Access Hospitals,Government - Local,Yes
KEARNEY COUNTY HEALTH SERVICES HOSPITAL,Critical Access Hospitals,Government - Local,Yes
SAUNDERS MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
HENDERSON HEALTH CARE SERVICES,Critical Access Hospitals,Voluntary non-profit - Private,Yes
COMMUNITY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
GARDEN COUNTY HEALTH SERVICES,Critical Access Hospitals,Government - Local,Yes
FRANKLIN COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
GENOA COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
GOTHENBURG MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER,Critical Access Hospitals,Government - Local,Yes
BRODSTONE MEMORIAL HOSP,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WEBSTER COUNTY COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
TILDEN COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
MORRILL COUNTY COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
JEFFERSON COMMUNITY HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
OAKLAND MERCY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Church,Yes
ST FRANCIS MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ALEGENT HEALTH MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
NEMAHA COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
BROWN COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
ANTELOPE MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
COZAD COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
LITZENBERG MEMORIAL COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
AVERA ST ANTHONY'S HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Church,Yes
WARREN MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
AVERA CREIGHTON HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
BUTLER COUNTY HEALTH CARE CENTER,Critical Access Hospitals,Government - Local,Yes
ROCK COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
BOONE COUNTY HEALTH CENTER,Critical Access Hospitals,Government - Local,Yes
CALLAWAY DISTRICT HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
YORK GENERAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
HOWARD COUNTY MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
MEMORIAL HEALTH CARE SYSTEMS,Critical Access Hospitals,Voluntary non-profit - Private,Yes
DUNDY COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
CHADRON COMMUNITY HOSPITAL AND HEALTH SERVICES,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ST MARY'S COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Church,Yes
WEST HOLT MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CHERRY COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
PROVIDENCE MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ALEGENT HEALTH PLAINVIEW HOSPITAL,Critical Access Hospitals,Government - Local,Yes
OSMOND GENERAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
TRI VALLEY HEALTH SYSTEM,Critical Access Hospitals,Voluntary non-profit - Private,Yes
PENDER COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
JOHNSON COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
CHASE COUNTY COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
"COMMUNITY MEDICAL CENTER, INC",Critical Access Hospitals,Voluntary non-profit - Private,Yes
VALLEY COUNTY HEALTH SYSTEM,Critical Access Hospitals,Government - Local,Yes
CRETE AREA MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
OGALLALA COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
PERKINS COUNTY HEALTH SERVICES,Critical Access Hospitals,Government - Hospital District or Authority,Yes
SIDNEY REGIONAL MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
GORDON MEMORIAL HOSPITAL DISTRICT,Critical Access Hospitals,Government - Hospital District or Authority,Yes
MEMORIAL COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
BOX BUTTE GENERAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
LEXINGTON REGIONAL HEALTH CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes
PHELPS MEMORIAL HEALTH CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",Critical Access Hospitals,Voluntary non-profit - Private,Yes
JENNIE M MELHAM MEMORIAL MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CHILDREN'S HOSPITAL & MEDICAL CENTER,Childrens,Voluntary non-profit - Private,Yes
RENOWN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SUNRISE HOSPITAL AND MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
NORTH VISTA HOSPITAL,Acute Care Hospitals,Proprietary,Yes
BANNER CHURCHILL COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UMC OF SOUTHERN NEVADA,Acute Care Hospitals,Government - Local,Yes
NORTHEASTERN NEVADA REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
